name,group,has_photo,has_role,has_affiliation,has_link,what_is_missing
Amr El-Wakeel,Faculty and advisors,yes,yes,yes,yes,nothing
Francesco Gatti,Faculty and advisors,no,no,no,yes,"photo, role, affiliation"
Houssam Abbas,Faculty and advisors,yes,yes,yes,yes,nothing
Johannes Betz,Faculty and advisors,yes,yes,yes,yes,nothing
John M. Dolan,Faculty and advisors,yes,yes,yes,yes,nothing
Madhur Behl,Faculty and advisors,yes,yes,yes,yes,nothing
Marko Bertogna,Faculty and advisors,yes,yes,yes,yes,nothing
Paolo Burgio,Faculty and advisors,yes,yes,yes,yes,nothing
Radu Grosu,Faculty and advisors,yes,yes,yes,yes,nothing
Rahul Mangharam,Faculty and advisors,yes,yes,yes,yes,nothing
Venkat Krovi,Faculty and advisors,yes,yes,yes,yes,nothing
Ahmad Amine,Developers,yes,yes,yes,yes,nothing
Ayagoz Smagulova,Developers,no,no,no,no,"photo, role, affiliation, link"
Cedric Hollande,Developers,yes,yes,yes,yes,nothing
Chinmay Samak,Developers,yes,yes,yes,no,link
Dhruv Jaiswal,Developers,no,no,yes,no,"photo, role, link"
Felix Jahncke,Developers,yes,yes,yes,no,link
"Hongrui ""Billy"" Zheng",Developers,yes,yes,yes,yes,nothing
Johnny Tian,Developers,no,no,yes,no,"photo, role, link"
Mohamed Elgouhary,Developers,yes,yes,yes,no,link
Tanmay Samak,Developers,yes,yes,yes,no,link
Wenshan Wang,Developers,yes,yes,yes,no,link
Yon Vanommeslaeghe,Developers,no,yes,yes,yes,photo
Zirui Zang,Developers,no,yes,yes,yes,photo
Abhay Deshpande,Contributors,yes,no,no,yes,"role, affiliation"
AdeebTarzi,Contributors,yes,no,no,yes,"role, affiliation"
AKHIL GUNDA,Contributors,yes,no,no,yes,"role, affiliation"
Aman,Contributors,yes,no,no,yes,"role, affiliation"
Amelia Peng,Contributors,yes,no,no,yes,"role, affiliation"
Ayoub Raji,Contributors,yes,no,no,yes,"role, affiliation"
Benjamin Evans,Contributors,yes,no,no,yes,"role, affiliation"
Carperis,Contributors,yes,no,no,yes,"role, affiliation"
Damian Owerko,Contributors,yes,no,no,yes,"role, affiliation"
Diana,Contributors,yes,no,no,yes,"role, affiliation"
Edoardo Ghignone,Contributors,yes,no,no,yes,"role, affiliation"
Ernő Horváth,Contributors,yes,no,no,yes,"role, affiliation"
Eunyul Kim,Contributors,yes,no,no,yes,"role, affiliation"
excuice,Contributors,yes,no,no,yes,"role, affiliation"
Ganesh Chandan,Contributors,yes,no,no,yes,"role, affiliation"
hanseunghan,Contributors,yes,no,no,yes,"role, affiliation"
Hongrui (Billy) Zheng,Contributors,yes,no,no,yes,"role, affiliation"
Jaroslav Klapálek,Contributors,yes,no,no,yes,"role, affiliation"
Jefferson Koumba Moussadji Lu,Contributors,yes,no,no,yes,"role, affiliation"
Kurt Wilson,Contributors,yes,no,no,yes,"role, affiliation"
Lawrence McDaniel,Contributors,yes,no,no,yes,"role, affiliation"
Lee Milburn,Contributors,yes,no,no,yes,"role, affiliation"
Luigi Berducci,Contributors,yes,no,no,yes,"role, affiliation"
Matteo Fornaini,Contributors,yes,no,no,yes,"role, affiliation"
Maxime Ellerbach,Contributors,yes,no,no,yes,"role, affiliation"
MLN-MNJ,Contributors,yes,no,no,yes,"role, affiliation"
Nandan Tumu,Contributors,yes,no,no,yes,"role, affiliation"
Scott Noyes,Contributors,yes,no,no,yes,"role, affiliation"
Shreyas Raorane,Contributors,yes,no,no,yes,"role, affiliation"
Sophie A. Neubauer (née Gruenbacher),Contributors,yes,no,no,yes,"role, affiliation"
Steven Gong,Contributors,yes,no,no,yes,"role, affiliation"
Tejas Agarwal,Contributors,yes,no,no,yes,"role, affiliation"
